n,data_prevista,pilar,origem,titulo,keyword,status,publicado_em,slug,responsavel,observacoes
1,seg 17/08/26,P2,Rasc.,Provador virtual no e-commerce de moda: como transformar os 98 que vão embora em venda,provador virtual e-commerce moda,publicado,,provador-virtual-ecommerce-moda,,
2,ter 18/08/26,P7,Rasc.,Agentic Commerce: quando a IA compra pelo consumidor e o que muda para sua marca,agentic commerce,rascunho,,agentic-commerce-ia-compra-pelo-consumidor,,
3,qua 19/08/26,P2,Rasc.,Provador Virtual de Óculos: como dobrar as vendas no e-commerce óptico,provador virtual de óculos,rascunho,2026-06-19,provador-virtual-ia-generativa-ecommerce,,
4,qui 20/08/26,P1,KW,"Realidade Aumentada: o que é, como funciona e onde ela já vende no varejo brasileiro",Realidade Aumentada,publicado,2026-06-19,realidade-aumentada-ecommerce-venda-mais-devolva-menos,,
5,sex 21/08/26,P5,KW,Abandono de carrinho: as causas reais e as soluções que funcionam,abandono de carrinho,publicado,2026-06-19,abandono-carrinho-ecommerce-lacuna-imaginacao,,
6,sáb 22/08/26,P1,KW,Como vender mais online: o guia para quem já esgotou mídia paga,como vender mais online,a fazer,,,,
7,dom 23/08/26,P5,KW,Taxa de conversão e-commerce: o guia completo para 2026,taxa de conversão e-commerce,a fazer,,,,
8,seg 24/08/26,P1,KW,Inteligência Artificial e-commerce: os usos que já dão resultado em 2026,Inteligência Artificial e-commerce,a fazer,,,,
9,ter 25/08/26,P5,KW,KPIs e-commerce: os 11 indicadores que dizem se a operação vai bem,KPIs e-commerce,a fazer,,,,
10,qua 26/08/26,P5,KW,Como aumentar faturamento e-commerce: as 7 alavancas antes de subir o investimento em mídia,como aumentar faturamento e-commerce,a fazer,,,,
11,qui 27/08/26,P1,KW,Inovação no varejo: o que separa piloto bonito de resultado no caixa,inovação no varejo,a fazer,,,,
12,sex 28/08/26,P1,KW,Tecnologia para e-commerce: o stack que sustenta conversão em 2026,tecnologia para e-commerce,a fazer,,,,
13,sáb 29/08/26,P5,KW,Como reduzir abandono de carrinho: as causas que frete grátis não resolve,como reduzir abandono de carrinho,a fazer,,,,
14,dom 30/08/26,P5,KW,Por que e-commerce não converte: o diagnóstico que ninguém faz antes de mexer no preço,por que e-commerce não converte,a fazer,,,,
15,seg 31/08/26,P5,KW,Como aumentar taxa de conversão e-commerce: o que fazer quando o tráfego cresce e a venda não,como aumentar taxa de conversão e-commerce,a fazer,,,,
16,ter 01/09/26,P1,KW,Aumentar confiança compra online: os 6 sinais que fazem o consumidor clicar em comprar,aumentar confiança compra online,a fazer,,,,
17,qua 02/09/26,P7,KW,Live shopping tendências Brasil: tendências,live shopping tendências Brasil,a fazer,,,,
18,qui 03/09/26,P7,KW,O futuro do varejo digital: o que vem depois do carrinho,futuro do varejo digital,a fazer,,,,
19,sex 04/09/26,P5,KW,Dashboard e-commerce: o que medir e como ler,dashboard e-commerce,a fazer,,,,
20,sáb 05/09/26,P5,KW,Ticket médio e-commerce: como crescer sem dar desconto,ticket médio e-commerce,a fazer,,,,
21,dom 06/09/26,P7,KW,Otimização para ChatGPT: como otimizar sua marca para o ChatGPT,otimização para ChatGPT,a fazer,,,,
22,seg 07/09/26,P3,KW,Ver móvel em casa antes de comprar: como a AR responde se cabe no espaço,ver móvel em casa antes de comprar,a fazer,,,,
23,ter 08/09/26,P5,KW,Custo de aquisição cliente online: como calcular e como derrubar,custo de aquisição cliente online,a fazer,,,,
24,qua 09/09/26,P2,KW,Comprar sapato online sem errar tamanho: o guia da numeração que muda de marca para marca,comprar sapato online sem errar tamanho,a fazer,,,,
25,qui 10/09/26,P1,KW,Jornada do consumidor digital: onde a dúvida entra e derruba a venda,jornada do consumidor digital,a fazer,,,,
26,sex 11/09/26,P1,Pauta,Dados e-commerce Brasil 2026: os dados que vão mudar sua estratégia,dados e-commerce Brasil 2026,a fazer,,,,
